year,title,rating,no_of_reviews,directors_actors,genres,runtime,gross
(II) (2022),Roadkill,9.4,24,"Director:,Alexander Whitrow,,|,Stars:,Alexander Whitrow,,,Robert Bell,,,Sarah Milde,,,Edward Boyd,","Action, Drama, Thriller",93 min,
(2023),Fighting Olympus,9.4,7,"Director:,Julian Hampton,,|,Stars:,Garrett Gallego,,,Ashley Johnson,,,Rich Sands,,,Jesse Tayeh,",Action,,
(2021),The Shoonyah: Chapter 1 - Blow of the War Horns,9.4,23,"Director:,Deepak S.V.,,|,Stars:,Siddharth Nigam,,,Nithish,,,Deep Joshi,",Action,,
(2016),Revenge Strategy,9.4,18,"Director:,CarlitosChance,,|,Stars:,Alejandro Aguilar,,,Elizabeth Cervantes,,,Lara Corrochano,,,Elkin Díaz,","Action, Crime, Mystery",95 min,
(2022),The Bond - A Jaron Ikner Film,9.4,8,"Director:,Jaron Ikner,,|,Stars:,Jasmine Berber,,,Ashe Bridges,,,David Burbey,,,Justin Cornea,",Action,,
(2018),Star Wars: The Rise of Ren,9.4,7,"Director:,Nick Muhlbach,,|,Stars:,Conner Breedlove,,,Blaise Brucato,,,Jack Buchbinder,,,Taylor Cleek,",Action,61 min,
(2010),Star War the Third Gathers: The Backstroke of the West,9.3,27,"Stars:,Benjamin Norman Pierce,,,Tom Schalk,,,Zachary Skoubis,","Action, Comedy, Sci-Fi",140 min,
(I) (2022),Memory Lane,9.3,15,"Director:,Ross Holman,,|,Stars:,Bianca Holman,,,Ross Holman,,,Steven Wilkins,","Action, Adventure, Music",63 min,
(2014),Hank Is Evil: The Movie,9.3,10,"Director:,Joe Pontillo,,|,Stars:,John Babatsikos,,,Thomas J. Bellezza,,,Erin Conroy,,,Les Degen,","Action, Comedy, Mystery",76 min,
(2012),Manhandlers,9.3,9,"Director:,Adam Pitzler,,|,Stars:,Adam Pitzler,,,Joshua Hudson,,,Ray Tansy,,,John Christensen,","Action, Comedy",128 min,
(1993),Ramayana: The Legend of Prince Rama,9.2,"8,990","Directors:,Ram Mohan,,,Yûgô Sakô,,,Koichi Saski,,|,Stars:,Bryan Cranston,,,Arun Govil,,,Nikhil Kapoor,,,Edie Mirman,","Animation, Action, Adventure",97 min,
(2022),Pinpoint,9.2,32,"Director:,Nathan Staley,,|,Stars:,Neil Bhagwani,,,Kale Conaway,,,Dante Demarino,,,Milin Goldstein,","Action, Adventure",99 min,
(2019),WWE: Paige - Iconic Matches,9.2,10,"Stars:,Saraya-Jade Bevis,,,A.J. Mendez,,,Mercedes Varnado,,,Nikki Garcia,","Action, Sport",65 min,
(2018),Fight!,9.2,67,"Director:,Jason Lupish,,|,Stars:,Erica Sherwood,,,Gabriella McAlpine,,,Tino Notarianni,,,Jennifer Farrugia,","Action, Drama, Thriller",90 min,
(2021),Black Widow: Forever Red Part 1 and 2,9.2,12,"Director:,Mario Durán Araujo,,|,Stars:,Amelia Conway,,,Anthony B Martins Rock,,,Rory Dunn,,,Giorgia Velluti,","Action, Mystery",50 min,
(2013),Time and Time Again,9.2,115,"Director:,Joe L. Roberts,,|,Stars:,Jesse Crawford,,,Jodie Hill,,,Lelani Mitchem,,,Amanda Jacobs,","Action, Adventure",95 min,
(2022),Promise Chronicles - Manifestation,9.2,12,"Director:,Anthony N. Wright,,|,Stars:,Kyle Ament,,,Jessi Ball,,,Ronan Ball,,,Sarah Ball,","Action, Adventure, Drama",160 min,
(2016),Code 0044,9.2,5,"Director:,Dionysios Nikolaos Lountzis,,|,Stars:,Anthony Barrow,,,Mili Dee,,,Ty Gulliver,,,Martin Howe,","Action, Crime, Drama",101 min,
(1996),Beat the Bash,9.2,11,"Director:,Michael Costanza,,|,Stars:,Wilson Cruz,,,Meredith Scott Lynn,,,Anthony Nicosia,,,Joseph D. Reitman,","Action, Crime, Drama",,
(2020),Animator vs. Animation V,9.1,38,"Director:,Alan Becker,,|,Star:,Alan Becker,","Animation, Action, Adventure",31 min,
(2016),Poka Messiah,9.1,8,"Director:,Ernest Obi,,|,Stars:,Jide Kene Achufusi,,,Jude Thomas Dawam,,,Yul Edochie,,,Erica Nlewedim,",Action,,
(2021),The Iridescent,9.1,7,"Director:,Tony Cole,,|,Stars:,Alex Kaufmann,,,Thomas Sandford,,,Tony Cole,,,Eric Sandford,","Action, Crime",83 min,
(2022),A Group of Rapscallions Obsess Over A Mod Crafted (Lovingly) By Gerald,9.1,7,"Director:,Jaiden Marchetti,,|,Stars:,Tyler Anderson,,,Lucas Heredia,,,Ryder Lewellen,,,Max Mandlestein,","Action, Adventure, Comedy",68 min,
(2008),The Dark Knight,9.0,"2,693,248","Director:,Christopher Nolan,,|,Stars:,Christian Bale,,,Heath Ledger,,,Aaron Eckhart,,,Michael Caine,","Action, Crime, Drama",152 min,$534.86M
(2003),The Lord of the Rings: The Return of the King,9.0,"1,871,823","Director:,Peter Jackson,,|,Stars:,Elijah Wood,,,Viggo Mortensen,,,Ian McKellen,,,Orlando Bloom,","Action, Adventure, Drama",201 min,$377.85M
(2023),Saving for the Day,9.0,11,"Director:,John D. Nilles,,|,Stars:,Andy Shirtliff,,,Lindsey Zachariasen,,,James McGahee,,,Cheyenne Adamson,","Action, Adventure, Comedy",,
(2015),Toxin: 700 Days Left on Earth,9.0,22,"Director:,Shawn Welling,,|,Stars:,Lee Majors,,,Isabella Blake-Thomas,,,Sarati,,,Nick W. Nicholson,","Action, Drama, Horror",,
(2015),Deciphering Me,9.0,41,"Director:,Samten Bhutia,,|,Stars:,Dayahang Rai,,,Kamal Mani Nepal,,,Rajan Khatiwada,,,Buddhi Tamang,","Action, Drama",112 min,
(2016),Red Bluff,9.0,7,"Director:,Sukhwant Dhadda,,|,Stars:,Consuelo Vega,,,Jaime Aymerich,,,Gary Nohealii,,,Jessica Likens,","Action, Drama",,
(2016),The Tale of a Pusher,9.0,11,"Director:,Ryan Rachall,,|,Stars:,JaQuincy Atkins,,,Camille Calvin,,,Isaac DeSoto,,,Ricky Dew,","Action, Crime, Drama",96 min,
(1983),The Somali Dervish,9.0,15,"Directors:,Abdulkadir Ahmed Said,,,Said Salah,,|,Star:,Sheikh Osman Omar,","Action, Drama, History",270 min,
(2022),Andaz Tera Mera,9.0,9,"Director:,Kumud Pant,,|,Stars:,Kumud Pant,,,Atul Sharma,,,Kishore Bhatt,,,Bharat Mistri,","Action, Comedy, Romance",,
(2012),Raskal Love,9.0,22,"Director:,Byron Q.,,|,Stars:,Feodor Chin,,,Chris Trouble Delfosse,,,Vanna Fut,,,David Huynh,","Action, Biography, Drama",90 min,
(1993),The Mike King Story Special Feature,9.0,67,"Director:,Tom Logan,",Action,51 min,
(1976),The Message,8.9,"9,719","Director:,Moustapha Akkad,,|,Stars:,Abdallah Gheith,,,Mona Wassef,,,Hamdy Gheith,,,Ali Achmed Taram,","Action, Adventure, Biography",207 min,
(2022),Deck of Cards,8.9,190,"Directors:,Eric Notarnicola,,,Gregg Turkington,,|,Stars:,Gregg Turkington,,,Joe Estevez,,,Mark Proksch,,,Michael Matthews,","Action, Adventure, Comedy",45 min,
(2022),Doctor Strange: Multiversal Madness,8.9,13,"Director:,Mario Durán Araujo,,|,Stars:,Richard Croxford,,,Amelia Forsyth-Smith,,,James R. Baylis,,,Derek Good,","Action, Mystery, Sci-Fi",,
(2000),The Thundering 8th,8.9,85,"Director:,Donald Borza II,,|,Stars:,Donald Borza II,,,Ewing Miles Brown,,,Bo Hopkins,,,June Lockhart,","Action, Drama, Romance",100 min,
(2020),Super Mario Bros. Z 4K,8.9,26,"Director:,Alen Alic,,|,Stars:,Scott Burns,,,Andrew Chandler,,,Dameon Clarke,,,Ryan Drummond,","Animation, Action, Adventure",200 min,
(IV) (2022),Exile,8.9,19,"Directors:,Thang Mung,,,Nuam Boih,,|,Stars:,Khai Boih,,,Nuam Boih,,,Peter Lian,,,Gin Mung,",Action,85 min,
(2012),Tragedy of a Mother and Son,8.9,30,"Director:,Romane Simon,,|,Stars:,J. Kristopher,,,Manos Krystalis,,,Romane Simon,,,Robert Amico,","Action, Drama, Family",90 min,
(2022),A Touch of Vengeance,8.9,27,"Director:,Jordan-Kane Lewis,,|,Stars:,Leona Clarke,,,Martin Nadin,,,Josh Smith,,,Zak Ojaghi,","Action, Crime, Drama",62 min,
(2017),A Working Title,8.9,16,"Director:,Derek Roy,,|,Stars:,Billy Cameron,,,Tavius Cortez,,,Jacob Dufour,,,Derek Feeser,","Action, Drama, Romance",115 min,
(1954),Racing Blood,8.9,17,"Director:,Wesley Barry,,|,Stars:,Bill Williams,,,Jean Porter,,,Jimmy Boyd,,,George Cleveland,","Action, Drama, Romance",75 min,
(2017),Hidden Dragon Battle,8.9,79,"Director:,Li Jian,,|,Stars:,Zhang Li,,,Jiaolong Sun,,,Liang Jiaren,",Action,,
(2017),Siege at Desert Pass,8.9,14,"Director:,Cristina Duarte,,|,Stars:,Cristina Duarte,,,Tim David Russell,,,Daniel Suliman,,,A.F. Vasquez,",Action,48 min,
(1989),Ang pumatay ng dahil sa iyo,8.9,44,"Director:,Willy Milan,,|,Stars:,Chuck Perez,,,Eddie Garcia,,,Vic Vargas,,,Michael De Mesa,",Action,90 min,
(2014),Bare Knuckle,8.9,20,"Director:,Joel David Santner,,|,Stars:,William LeDent,,,Steve Attix,,,John C. Bailey,,,Tonya Beckman,","Action, Drama",70 min,
(2010),Inception,8.8,"2,390,173","Director:,Christopher Nolan,,|,Stars:,Leonardo DiCaprio,,,Joseph Gordon-Levitt,,,Elliot Page,,,Ken Watanabe,","Action, Adventure, Sci-Fi",148 min,$292.58M
(2001),The Lord of the Rings: The Fellowship of the Ring,8.8,"1,901,042","Director:,Peter Jackson,,|,Stars:,Elijah Wood,,,Ian McKellen,,,Orlando Bloom,,,Sean Bean,","Action, Adventure, Drama",178 min,$315.54M
(2002),The Lord of the Rings: The Two Towers,8.8,"1,689,887","Director:,Peter Jackson,,|,Stars:,Elijah Wood,,,Ian McKellen,,,Viggo Mortensen,,,Orlando Bloom,","Action, Adventure, Drama",179 min,$342.55M
(2006),Kill Bill: The Whole Bloody Affair,8.8,"13,497","Director:,Quentin Tarantino,,|,Stars:,Uma Thurman,,,Lucy Liu,,,Vivica A. Fox,,,Michael Madsen,","Action, Crime, Thriller",247 min,
(2022),The Legend of Maula Jatt,8.8,"9,822","Director:,Bilal Lashari,,|,Stars:,Fawad Khan,,,Mahira Khan,,,Humaima Malik,,,Hamza Ali Abbasi,","Action, Drama, Fantasy",153 min,
(2023),Lemon man vs the Multiverse,8.8,9,"Director:,Ieuan Evans,,|,Stars:,Ieuan Evans,,,Peter Kingdom,","Animation, Action, Sci-Fi",19 min,
(2019),Finding Purpose: The Road to Redemption,8.8,123,"Director:,John Reign,,|,Stars:,John Reign,,,Thomas Stoops,,,Dawna Lee Heising,,,Aki Aleong,","Action, Adventure, Comedy",90 min,
(2018),Suspended Inspector Boro,8.8,53,"Director:,Kenny Basumatary,,|,Stars:,Kenny Basumatary,,,Suneet Bora,,,Anupam Kaushik Borah,,,Sarmistha Chakravorty,","Action, Crime, Thriller",100 min,
(2021),Devil in Agbada,8.8,68,"Director:,Umanu Elijah,,|,Stars:,Uzor Arukwe,,,Alexx Ekubo,,,Desmond Elliot,,,Etinosa Idemudia,",Action,115 min,
(2023),Ninja in the Mafia's Shadow,8.8,12,"Director:,James Sheridan,,|,Stars:,William Rayne,,,Holly Anspaugh,,,Jason Page,,,Jacob Pettyjohn,","Action, Adventure, Crime",,
(2022),Jayden Tries: The Fight 4 All Reality,8.8,16,"Director:,Bogdan Zaporozhets,,|,Stars:,Jared Leto,,,Ethan Stringer,,,Jessica Lange,,,Ben Reed,",Action,55 min,
(1995),Urban Rangers,8.8,48,"Director:,Jose 'Kaka' Balagtas,,|,Stars:,Raymart Santiago,,,Ace Espinosa,,,Jay Manalo,,,Joko Diaz,",Action,,
(2018),The Dark Knight: The Ballad of the N Word,8.8,139,"Director:,Liam Bilsky,,|,Star:,Batman,","Action, Comedy, Crime",129 min,
(2006),Hollywood Burn,8.8,39,"Director:,Soda Jerk,,|,Stars:,Dan Aykroyd,,,Bette Davis,,,Mark Hamill,,,Daryl Hannah,","Action, Comedy, History",52 min,
(2014),"Rocks, Paper, Scissors",8.8,8,"Director:,Gregory Nalbandian,,|,Stars:,John Fry,,,Gregory Nalbandian,,,Kevin Lukata,,,Brandi Maclaren,","Action, Thriller",,
(2018),Be Somebody,8.8,16,"Director:,Don Overton,,|,Stars:,Connie Kincer,,,Cisco Reyes,,,Chrystal Snow,,,Melvin Jackson Jr.,","Action, Crime",90 min,
(2021),Tranquility - An Independent Film,8.8,18,"Director:,Alexander Geil,,|,Stars:,Keith R Beck,,,Alexander Geil,,,Anabel Moda,,,Caden Ferland,","Action, Drama, Mystery",70 min,
(2022),UK Border,8.8,8,"Director:,Kumud Pant,,|,Stars:,Kumud Pant,,,Joelle Koissi,,,Atul Sharma,,,Laura Bernardeschi,",Action,,
(2016),Lego Minecraft Movie 3,8.8,6,"Director:,Patryk Wawer,,|,Stars:,Patryk Wawer,,,Monica Ochea,,,Michael C Celestio,","Animation, Action, Adventure",64 min,
(2015),What Jack Built,8.8,54,"Director:,Matthew Mahler,,|,Star:,Timothy J. Cox,","Action, Drama, Mystery",,
(2023),The Jadon264 Movie,8.8,10,"Director:,Jadon264,,|,Stars:,FlyerMation,,,FoxyBlue,,,Jadon264,,,Super Sonic Light,",Action,64 min,
(2015),The Hidden Side of the Things,8.8,13,"Director:,Nico Toffoli,,|,Stars:,Nico Toffoli,,,Vincenzo Garramone,,,Toni Sansaro,,,Marco Galiè,","Action, Fantasy, Mystery",90 min,
(2019),Interview with the Hitman,8.8,5,"Director:,Fred Carpenter,,|,Stars:,Elke Blasi,,,Jerry Brown,,,Kevin Dotcom Brown,,,Theresa Cannistraci-Farrell,",Action,90 min,
(2015),Dark Sky Blue,8.8,12,"Director:,Chris X,,|,Stars:,Anna Lee Anderson,,,Larry Biela,,,Harold Dennis,,,Xerxes Flores,","Action, Adventure, Drama",63 min,
(2013),Heroine Legends: Transition to Darkness,8.8,7,"Director:,Logan Cross,,|,Stars:,Cayla Black,,,Brandon Blondun,,,Peter Bonilla,,,Yaz Canli,",Action,,
(2005),Hat Trick,8.8,90,"Director:,Jason McAfee,,|,Stars:,Brian Bentley,,,Bryan Chatlien,,,Mark Stoddard,,,John Phelan,",Action,82 min,
(2015),A Cartel Story,8.8,35,"Director:,Raul Colon III,,|,Stars:,Antonia Arcely,,,Jay Bonilla,,,Cleo Bradley,,,Joe Caballero,",Action,,
(I) (2007),Exodos,8.8,90,"Director:,George Voulgaris,,|,Stars:,Maria Karasoulla,,,Sofoklis Kaskaounias,,,Koulis Nikolaou,,,George Georgiou,","Action, Adventure, Crime",96 min,
(2012),Bad Tara,8.8,12,"Director:,Julio Thillet,,|,Stars:,Celia Au,,,John Brennan,,,Maria de Jesus Castellon,,,Anne Leigh Cooper,","Action, Crime",72 min,
(2016),A Clean Exit,8.8,15,"Director:,Clint Gaige,,|,Stars:,Ian A. Wade,,,Konstantine James,,,Sierra Marie,,,Linda Monath Gregory,","Action, Crime, Drama",118 min,
(2012),Fictionality,8.8,28,"Director:,Marie Selva,,|,Stars:,Afshin Akhavan,,,Ashkan Akhavan,,,Pouya Arastoo,,,Makoumba Ba-Amon,",Action,,
(2010),Go West Happy Cow,8.8,18,"Director:,Tyler Knowles,,|,Stars:,Kurt Jensen,,,Mike Tiboris,,,Joe Thompson,,,Troy Vosseller,","Action, Adventure, Comedy",87 min,
(2013),Money Mechanics,8.8,6,"Director:,Bruny Telfort,,|,Stars:,Krystal Arguello,,,Pearce Blair,,,Xavier Burbano,,,Omar Cardoso,","Action, Crime, Drama",106 min,
(2014),Launder Run,8.8,7,"Stars:,Kumud Pant,,,Henry Neville,","Action, Comedy",,
(1999),The Matrix,8.7,"1,940,362","Directors:,Lana Wachowski,,,Lilly Wachowski,,|,Stars:,Keanu Reeves,,,Laurence Fishburne,,,Carrie-Anne Moss,,,Hugo Weaving,","Action, Sci-Fi",136 min,$171.48M
(1980),Star Wars: Episode V - The Empire Strikes Back,8.7,"1,309,790","Director:,Irvin Kershner,,|,Stars:,Mark Hamill,,,Harrison Ford,,,Carrie Fisher,,,Billy Dee Williams,","Action, Adventure, Fantasy",124 min,$290.48M
(2021),Vice City,8.7,7,"Director:,Twant Lavish,,|,Stars:,Twant Lavish,,,Valarie Moscato,,,Christa Reday,,,Dayveontay Pedraza,","Action, Crime",48 min,
(2022),Kick Me,8.7,7,"Director:,Gary Huggins,,|,Stars:,Santiago Vasquez,,,Ramone Armstrong,,,Matthew Stathas,,,Eric Logan,","Action, Comedy, Horror",86 min,
(1995),Djävligt jagad,8.7,97,"Directors:,Stefan Lindström,,,Patrik Söderberg,,|,Stars:,Anders Blom,,,Andreas Dahlqvist,,,Peter Elfving,,,Rainer Holm,","Action, Comedy",71 min,
(2020),16 Bars,8.7,25,"Director:,Tamir x Singleton,,|,Stars:,Gbenga Akinnagbe,,,Bre-Z,,,Corey Champagne,,,Mykey Cooper,",Action,,
(2018),A Family of Killers,8.7,9,"Director:,Nicolas James,,|,Stars:,Pam Kvale,,,Trevor James,,,Pierce Kvale,,,Alex James,","Action, Adventure, Comedy",101 min,
(2008),Cowboy Smoke,8.7,114,"Director:,Will James Moore,,|,Stars:,Mike Lutz,,,Chad Mathews,,,Matthew T. Johnston,,,Estella Perez,","Action, Adventure, Crime",,
(2021),Revenge of the Dudek,8.7,14,"Director:,Berger,,|,Stars:,Adventuregamer,,,Berger,,,Chicken,,,Clive,","Action, Adventure, Fantasy",102 min,
(1989),Valentina,8.7,51,"Director:,Santiago Garcia,,|,Stars:,Melissa Perez,,,Luis Gonzales,,,Marita Zobel,,,Dexter Doria,","Action, Horror",,
(1974),Let's Go for Broke,8.7,13,"Director:,Ron Walsh,,|,Stars:,Christa Helm,,,Chitra Neogy,,,Frank Raiter,,,Jacqueline Mayro,","Action, Comedy",,
(2019),Paird,8.7,10,"Director:,Joseph DeRose,,|,Stars:,Joseph DeRose,,,Sam DeRose,","Animation, Action, Adventure",106 min,
(2016),Clank: Legacy,8.7,83,"Directors:,Pauli Janhunen Calderón,,,David Anghel,,|,Stars:,David Anghel,,,Rebecka Andersson,,,Daniel Abreu,,,Pauli Janhunen Calderón,","Action, Thriller",141 min,
(2016),The Victims,8.7,19,"Directors:,Del Weston,,,Nabi Zee,,|,Stars:,Ryan Burke,,,Vicky Dalli,,,Jodie Lee,,,Jillisa Lynn,",Action,93 min,
(2016),The Blackhawk Dilemma,8.7,90,"Director:,David Nelson,,|,Stars:,David Nelson,,,Andrew Nosal,,,James Wilkins,,,Carter Aakhus,",Action,74 min,
(2011),Love Is a Thieves' Game,8.7,109,"Director:,Sam Logan Khaleghi,,|,Stars:,Sam Logan Khaleghi,,,Kristen Pickthall,,,Jason Waugh,,,Jeffery Stetson,","Action, Crime, Drama",91 min,
(2013),The Green Bandits,8.7,18,"Director:,Neehar Cherabuddi,,|,Stars:,Derek Adam,,,Jeff Allen,,,Andrew Anello,,,Josh Astor,","Action, Drama",60 min,
(2012),Call of Babylon,8.7,9,"Directors:,Graeme Noble,,,John-William Noble,,|,Stars:,Stuart McKay,,,Christie Mitchell,,,Nicholas Sorrie,,,John-William Noble,","Action, Drama, Thriller",111 min,
(2017),Apocalypse: Hope for Life,8.7,8,"Director:,Julian Calvo Vieira,,|,Stars:,Tony Devon,,,Quint Gabriel,,,Steve Weir,,,Jason Crowe,",Action,,
(2021),Red Mercury Mission in India,8.7,8,"Director:,Maheshh,,|,Stars:,Sukesh,,,Trigger Ravi,,,Spurthi Rao,,,Anurag Chintu,","Action, Crime, War",,
(2013),Celestial Hunt,8.7,10,"Director:,Jesse Eyman III,,|,Stars:,Jesse Eyman III,,,Kristi Lawrence,,,William Ellinger,,,Stephen Eyman,","Action, Drama, Thriller",96 min,
(II) (1990),Fatal Mission,8.7,26,"Director:,Tonie van der Merwe,,|,Stars:,Michael Baker,,,Simon Bleakley,,,Wally Booysen,,,Graham Clarke,","Action, Adventure",90 min,
(IV) (2021),Lockdown,8.7,6,"Director:,Kumud Pant,,|,Star:,Kumud Pant,","Action, Drama, History",,
(2015),The Tale of the Sparrow,8.7,15,"Director:,Jonathan Elihu Klein,,|,Stars:,Danny Bass,,,Jesse DiFranco,,,Jonathan Elihu Klein,,,John Kolar,","Action, Comedy",90 min,
(1977),Star Wars: Episode IV - A New Hope,8.6,"1,382,136","Director:,George Lucas,,|,Stars:,Mark Hamill,,,Harrison Ford,,,Carrie Fisher,,,Alec Guinness,","Action, Adventure, Fantasy",121 min,$322.74M
(1991),Terminator 2: Judgment Day,8.6,"1,114,164","Director:,James Cameron,,|,Stars:,Arnold Schwarzenegger,,,Linda Hamilton,,,Edward Furlong,,,Robert Patrick,","Action, Sci-Fi",137 min,$204.84M
(2023),Americana,8.6,30,"Director:,Tony Tost,,|,Stars:,Sydney Sweeney,,,Paul Walter Hauser,,,Zahn McClarnon,,,Eric Dane,","Action, Comedy, Crime",110 min,
(VI) (2018),The Conversation,8.6,12,"Director:,Adam Ethan Crow,,|,Stars:,Julian Kostov,,,Corey Johnson,,,David Chevers,,,Florin Opritescu,",Action,,
(I) (2022),Rupture,8.6,12,"Director:,Ranjeet S. Marwa,,|,Stars:,Sean Cronin,,,James Jaysen Bryhan,,,Nisaro Karim,,,Mark Strange,","Action, Thriller",84 min,
(2017),Worth Fighting For,8.6,46,"Director:,Joshua Sheik,,|,Stars:,Rudon Brannon,,,Josie Burke,,,Theresa Chason,,,Markeith Coleman,","Action, Drama",107 min,
(2020),Kung Fu Brothers,8.6,12,"Director:,Nabwana I.G.G.,,|,Stars:,Asiimwe Apollo,,,Nsamba Francis,,,Isaac Newton Kizito,",Action,72 min,
(2022),Bullet War Part 1 - Battle of Madness,8.6,12,"Director:,Gamer J Studios,,|,Stars:,Jordan Alexander,,,JacobRBLX,,,Jayvitz,,,KahPah,","Animation, Action, Thriller",48 min,
(2019),Balkan Blood,8.6,9,"Director:,Hao Shu,,|,Stars:,Chong Xu,,,Erand Hoxha,,,Klodian Hoxha,,,Xhelal Fera,",Action,68 min,
(2019),The Fearless Two,8.6,13,"Director:,Jamal Hall,,|,Stars:,Marc John Jefferies,,,Omar Gooding,,,Roy Jones Jr.,,,Alonzo Herran JR,","Action, Thriller",107 min,
(2022),The Smoke Master,8.6,25,"Directors:,Andre Sigwalt,,,Augusto Soares,,|,Stars:,Daniel Rocha,,,Tony Lee,,,Thiago Stechinni,,,Tristan Aronovich,","Action, Comedy",104 min,
(2011),New Prime,8.6,288,"Director:,Olan Rogers,,|,Stars:,Brett Driver,,,Sara Freites,,,Thomas Gore,,,Chris Kendall,","Action, Comedy, Sci-Fi",60 min,
(2016),Preto the Movie,8.6,10,"Directors:,Mark K. Buddington,,,Tyler Burgos,,|,Stars:,Mark K. Buddington,,,Tyler Burgos,,,Jazmine Callender,,,Camika Daniel,","Action, Drama",56 min,
(1990),Barumbado,8.6,43,"Director:,Willy Milan,,|,Stars:,Robin Padilla,,,Pinky de Leon,,,Isabel Rivas,,,Michael De Mesa,",Action,90 min,
(2020),Meta Runner Season 1 (Full Movie Cut),8.6,18,"Stars:,Brendan Barry-Cotter,,,Robyn Barry-Cotter,,,Amber Lee Connors,,,David J.G. Doyle,","Animation, Action, Adventure",124 min,
(2013),Skid Row,8.6,19,"Director:,Michael Shershenovich,,|,Stars:,Irina Babushkina,,,Geretta Geretta,,,Frank M. Stallone,,,Schooly-D,","Action, Crime, Horror",96 min,
(2015),Mario Warfare: The Complete Saga,8.6,39,"Director:,Micah Moore,,|,Stars:,David Berberian,,,Andy Boucher,,,Rick Burnett,,,Stephen Carr,",Action,77 min,
(2016),Until the Day I Die: Part 2,8.6,23,"Director:,Gonzalo Gonzalez,,|,Stars:,Ricky Saenz,,,Eric Connelly,,,Carl Garcia,,,Rene Aranda,",Action,,
